T,TM,Tm,H,VV,V,VM,PM 2.5
11.0,18.0,5.0,90.0,0.6,10.0,14.8,268.0
9.4,17.0,4.0,77.0,1.4,9.4,18.3,266.0
11.9,18.0,4.0,66.0,1.6,5.0,14.8,250.0
10.9,18.0,4.0,70.0,1.3,5.4,14.8,342.0
11.4,20.0,3.0,69.0,1.3,4.1,11.1,371.0
11.5,18.0,5.0,82.0,0.5,3.7,11.1,455.0
14.0,20.0,8.0,64.0,1.3,5.2,11.1,333.0
13.9,21.0,7.0,69.0,1.1,7.4,13.0,370.0
11.7,16.0,9.0,94.0,0.3,3.9,9.4,405.0
13.3,20.0,9.0,86.0,1.8,8.9,14.8,0.0
13.1,20.0,8.0,86.0,1.3,7.4,13.0,199.0
13.2,14.0,12.0,97.0,1.8,13.0,22.2,179.0
10.7,14.0,9.0,100.0,0.5,10.2,14.8,198.0
13.0,20.0,9.0,89.0,0.8,7.6,14.8,203.0
14.7,22.0,8.0,82.0,1.1,9.6,22.2,216.0
13.2,17.0,11.0,98.0,0.5,6.5,13.0,309.0
13.1,20.0,9.0,86.0,1.0,4.8,9.4,331.0
15.5,22.0,9.0,78.0,1.1,4.6,13.0,268.0
17.9,26.0,7.0,70.0,1.6,3.3,11.1,289.0
18.9,25.0,14.0,74.0,2.7,15.6,27.8,167.0
12.6,17.0,7.0,95.0,1.3,10.4,18.3,176.0
12.4,19.0,6.0,62.0,2.9,11.3,24.1,175.0
14.9,22.0,6.0,62.0,2.1,9.1,18.3,218.0
12.4,14.0,10.0,96.0,1.4,10.4,18.3,164.0
12.1,17.0,9.0,90.0,1.1,5.2,11.1,229.0
16.9,22.0,8.0,56.0,1.9,5.6,13.0,303.0
16.8,24.0,11.0,67.0,1.4,4.8,13.0,362.0
17.2,24.0,11.0,66.0,2.3,12.2,18.3,256.0
17.7,24.0,10.0,63.0,2.1,3.9,13.0,251.0
18.9,25.0,14.0,58.0,2.1,6.9,14.8,310.0
19.1,24.0,13.0,70.0,3.1,11.7,18.3,181.0
15.4,19.0,11.0,87.0,2.1,8.1,14.8,153.0
15.2,21.0,10.0,81.0,1.6,6.9,14.8,166.0
17.7,24.0,10.0,61.0,2.6,5.9,13.0,190.0
18.1,25.0,11.0,57.0,2.4,8.5,18.3,172.0
19.8,26.0,12.0,58.0,3.1,10.2,22.2,166.0
21.3,28.0,13.0,54.0,3.4,6.7,24.1,172.0
18.4,25.0,12.0,58.0,3.2,13.0,20.6,141.0
19.1,26.0,12.0,58.0,2.6,7.8,14.8,185.0
21.8,29.0,12.0,51.0,2.7,5.4,13.0,187.0
20.9,27.0,15.0,53.0,3.1,12.4,27.8,135.0
21.5,27.0,14.0,50.0,3.4,10.4,18.3,151.0
24.0,31.0,15.0,47.0,3.1,10.6,18.3,173.0
25.2,31.0,17.0,51.0,3.1,5.0,11.1,185.0
25.3,31.0,20.0,48.0,3.2,9.1,14.8,171.0
24.1,29.0,21.0,54.0,3.2,8.5,14.8,167.0
23.9,31.0,15.0,39.0,3.2,15.0,29.4,153.0
24.7,33.0,16.0,40.0,2.9,8.0,22.2,188.0
26.2,35.0,18.0,38.0,2.9,9.6,18.3,188.0
24.7,31.0,17.0,42.0,3.1,13.0,22.2,154.0
26.8,32.0,22.0,45.0,3.4,16.3,24.1,157.0
25.4,31.0,18.0,37.0,4.0,13.5,20.6,147.0
26.3,33.0,18.0,30.0,3.9,12.8,20.6,137.0
27.2,32.0,23.0,34.0,3.2,14.6,27.8,152.0
28.3,33.0,23.0,33.0,2.9,8.9,20.6,151.0
29.6,36.0,23.0,33.0,2.3,5.0,13.0,224.0
26.0,33.0,20.0,46.0,2.3,8.1,13.0,157.0
28.9,35.0,21.0,28.0,2.4,5.2,14.8,0.0
30.0,37.0,21.0,22.0,2.6,10.4,25.9,163.0
32.6,39.0,24.0,24.0,2.6,7.4,20.6,234.0
32.2,39.0,25.0,25.0,3.1,8.9,22.2,209.0
31.8,40.0,21.0,21.0,3.1,9.6,22.2,180.0
35.3,43.0,27.0,15.0,3.1,8.3,18.3,225.0
34.6,42.0,27.0,18.0,2.9,11.3,22.2,196.0
31.3,37.0,27.0,30.0,3.4,12.4,22.2,163.0
32.6,38.0,26.0,39.0,2.9,5.9,13.0,193.0
31.1,40.0,24.0,36.0,2.7,10.2,25.9,256.0
32.1,38.0,23.0,26.0,2.9,8.0,20.6,201.0
24.6,29.0,18.0,66.0,3.2,12.6,37.0,132.0
26.7,32.0,20.0,55.0,2.9,12.2,18.3,124.0
29.1,35.0,23.0,48.0,2.9,12.0,22.2,169.0
32.5,38.0,26.0,28.0,3.2,13.5,22.2,155.0
33.4,39.0,26.0,26.0,3.4,11.9,18.3,163.0
32.4,38.0,26.0,27.0,3.5,13.1,24.1,171.0
30.9,39.0,23.0,40.0,4.2,10.7,27.8,128.0
30.6,36.0,24.0,46.0,4.2,9.3,18.3,113.0
33.4,39.0,27.0,36.0,3.1,8.9,14.8,179.0
34.8,42.0,28.0,32.0,2.4,10.9,22.2,174.0
32.0,37.0,25.0,37.0,3.2,11.7,18.3,137.0
33.7,40.0,26.0,32.0,2.6,7.4,16.5,186.0
36.2,42.0,28.0,26.0,2.7,9.3,22.2,205.0
39.7,45.0,32.0,17.0,2.7,13.3,22.2,0.0
38.5,46.0,31.0,18.0,2.9,10.6,22.2,0.0
38.6,45.0,31.0,19.0,2.9,6.5,14.8,234.0
