T,TM,Tm,H,VV,V,VM,PM 2.5
11.9,19,3.1,75,0.8,4.3,14.8,450.0
14.8,21.3,5.6,69,1,3,9.4,331.0
15.4,22,8.4,71,1.6,3.3,13,238.0
14.8,20.2,11,81,1.6,10.9,16.5,160.0
12.8,18.8,9,96,1,9.6,18.3,164.0
9.4,14.5,6,93,1,10.7,16.5,155.0
15.3,21.1,9.6,79,1.3,11.7,20.6,230.0
12.8,20.6,9,89,1.4,7.8,13,164.0
13.1,18,6.7,83,1.3,8.1,11.1,159.0
9.9,15.8,6.2,91,0.8,13,18.3,173.0
11.5,15.8,7.6,97,0.8,6.3,14.8,191.0
13.4,19,8.8,86,0.8,4.4,13,225.0
13.6,20.4,6,66,1.9,4.4,13,196.0
14.6,21,7.2,66,1.6,5.7,16.5,227.0
16.1,22.2,9.4,69,1.4,9.1,18.3,212.0
11.9,19.8,6.2,75,2.1,7.4,14.8,150.0
13.4,19.2,6.9,75,1.6,7.2,14.8,165.0
11.9,20,6,76,1.3,7.4,20.6,171.0
13.9,21,6.1,62,1.9,5.6,11.1,180.0
13.2,19.6,6.8,70,1.6,5.9,14.8,189.0
14,20.6,7,68,1.3,7.8,18.3,203.0
14.4,21,7.4,67,1.6,5.7,14.8,172.0
19,27,10.2,59,2.4,16.1,22.2,152.0
17.2,27.2,11,57,2.4,14.8,25.9,133.0
17.4,25,8.6,51,2.6,13,25.9,146.0
20,26.6,9.4,49,2.6,15,24.1,166.0
20.8,26.6,13.9,58,2.3,17.2,27.8,156.0
16.2,28,13,82,2.7,13.5,33.5,98.0
19.7,26.5,13,69,1.3,6.9,18.3,181.0
20.1,26.4,13.7,65,1.6,8,16.5,191.0
21.1,27.2,14.3,73,1.8,10.4,18.3,160.0
20.6,28.6,13.9,69,2.7,5,11.1,97.0
21.4,28,15.3,68,1.9,3.3,13,155.0
21.7,28.2,14.8,56,2.1,5.9,13,136.0
17.6,20,12.2,82,2.3,6.7,14.8,103.0
18.1,25,12.4,72,1.9,9.1,22.2,124.0
18.7,25,12.3,61,2.3,11.3,22.2,124.0
20.6,27.8,13.6,54,2.6,8.1,16.5,129.0
17.7,23.2,14,86,2.3,8,16.5,89.0
18.8,25.6,12.4,65,2.1,6.3,16.5,109.0
23.6,30,16,60,2.3,7.6,16.5,142.0
24.7,31.5,16.9,57,2.3,6.1,13,157.0
24.5,31,18.1,54,2.7,5.6,14.8,134.0
24.8,32.4,17.2,55,2.7,8.1,22.2,75.0
22.9,33,18,66,2.6,10.9,20.6,82.0
20.8,26,18,74,2.7,9.1,20.6,65.0
23.9,32.2,17,49,3.4,8.9,20.6,0.0
24.4,31.8,16.6,52,3.4,9.8,18.3,72.0
24.4,31.2,16.8,44,3.2,12.2,22.2,63.0
23.7,32.2,15.6,40,3.4,8.5,18.3,101.0
26.3,37.5,18.1,41,3.2,12.8,20.6,0.0
26.4,34.2,18,36,3.4,11.5,18.3,0.0
25.9,34.7,16.9,36,3.5,7.8,18.3,79.0
30.4,38.6,21.1,34,3.5,7,22.2,140.0
32.2,39.6,24.1,31,3.5,4.8,9.4,103.0
32,41.2,25,22,3.2,6.5,14.8,158.0
28.5,38.4,19.6,40,3.4,6.7,18.3,83.0
26.6,31,21,43,3.4,7.6,20.6,106.0
28.3,35,18.9,36,3.2,6.9,16.5,87.0
30.7,37.4,24.2,34,4,9.1,22.2,87.0
24,31,19,62,2.7,11.9,27.8,106.0
27.1,34,18.6,53,3.9,16.3,22.2,67.0
31.4,39.6,24.1,48,3.4,11.9,16.5,112.0
29.9,40.5,24.5,54,2.7,17.8,22.2,83.0
26.9,38.7,21.8,64,2.9,11.9,25.9,73.0
30.4,39.1,21.7,35,4.3,8.5,16.5,89.0
32.4,40.2,22.6,36,3.5,8.9,14.8,106.0
33.6,41.2,24.5,41,3.7,10.2,18.3,105.0
30.2,38.6,25.8,49,2.9,6.3,18.3,123.0
30.5,41.1,23.4,47,3.5,9.6,37,96.0
32.2,41.1,22.8,35,3.9,11.1,20.6,93.0
34.1,42,23.4,22,3.5,6.1,16.5,137.0
33.8,42.8,22.4,19,3.4,11.1,20.6,114.0
34.8,43.2,22.9,18,3.9,8.7,24.1,110.0
37.2,45.2,26.6,21,4.2,7.8,25.9,115.0
38.4,46.2,29.1,17,3.9,10.6,29.4,104.0
38.1,47.6,28.5,20,3.9,13,22.2,87.0
25.5,36.1,20.1,73,3.7,9.6,33.5,43.0
29.6,35.2,19.8,59,3.9,2.8,9.4,80.0
31.1,36.2,23.5,48,3.9,7.4,22.2,92.0
31.4,36.2,24.5,47,3.4,5.6,13,88.0
29.2,38.2,21,61,2.9,7.8,37,70.0
32.6,37.2,24.5,50,3.2,7.4,18.3,79.0
35.4,41.2,26.2,43,3.4,6.5,20.6,107.0
32,42,28.6,57,2.7,8.3,27.8,95.0
34.8,42.2,27.2,51,3.1,7.2,14.8,118.0
36.2,41.4,28.5,40,4,9.6,20.6,87.0
36.1,44.2,29.5,49,2.7,12.8,18.3,112.0
31.9,43.1,27,51,2.7,10.2,37,75.0
31.8,39.9,25.1,62,2.7,9.1,13,71.0
31.9,39.4,28.2,65,3.1,5.9,27.8,54.0
32.6,39.4,28.9,62,3.1,10.2,24.1,72.0
34.6,40.6,29.2,52,2.9,13.1,27.8,104.0
34.3,40.3,30,59,2.9,9.8,13,91.0
35.7,40.6,30.6,54,2.6,8.5,14.8,112.0
34.3,41.8,28,58,3.1,11.3,46.5,111.0
29.4,37.4,27,79,2.9,16.9,37,47.0
30,35,27.6,82,2.6,8.5,22.2,42.0
32.4,37,28,71,3.9,7.2,13,65.0
31.9,37.4,27,65,3.5,7.2,16.5,99.0
33.9,39.4,28.5,61,3.5,8.7,14.8,116.0
32.4,39.4,29,67,3.1,12.6,22.2,90.0
29.8,37.1,26,81,3.1,8.7,27.8,48.0
28.1,32,24,81,3.2,9.8,22.2,50.0
26.5,33,24,89,2.4,9.6,37,34.0
30.1,34,25.3,80,2.4,7.6,14.8,59.0
31.7,35,27,74,3.1,4.3,14.8,72.0
31.9,36.4,28.6,73,3.7,10.6,16.5,73.0
30.5,33.2,27.4,80,2.4,6.1,13,65.0
31,35.8,26.8,79,2.9,6.9,13,55.0
31.9,37.2,27.6,72,3.2,10.4,13,56.0
30.9,36.8,27.9,73,3.4,11.7,22.2,46.0
31.7,36.8,27,76,3.1,5,18.3,80.0
29.7,34,26.5,83,3.1,5,18.3,54.0
27.1,37.2,25,96,2.4,6.1,16.5,28.0
29,31,26,87,2.4,9.4,18.3,27.0
30.1,34,27,83,3.2,9.1,16.5,0.0
26.7,34,24,96,1.4,8.5,16.5,39.0
26.6,30,24,92,1.9,8.3,14.8,38.0
29.4,33,24.7,77,3.5,10.2,20.6,47.0
29.1,31.4,26,81,3.5,8.1,14.8,46.0
29.6,32,27,77,3.7,7,13,47.0
30.4,34.6,26.5,73,3.7,8,20.6,49.0
28.4,31,25.6,78,4,11.7,16.5,0.0
29.7,33,25.4,71,3.7,8.3,13,39.0
30.1,34,26,72,3.7,4.6,9.4,47.0
30.5,34.6,28,73,2.9,11.3,22.2,59.0
28.4,34,26,82,2.1,4.8,13,89.0
30.3,34.4,25.4,73,2.7,4.4,13,68.0
30.8,34.6,27,72,2.7,6.9,14.8,105.0
31.6,36.8,28,69,2.3,4.1,14.8,190.0
31.3,36.2,27,67,2.6,4.4,13,165.0
31.6,36.4,26,66,2.7,3.5,14.8,149.0
32.2,38,28,61,3.4,5,13,138.0
31.8,36.8,27.6,64,3.1,7.8,14.8,150.0
31.8,36.5,27.4,64,3.2,7.4,13,147.0
31,36.4,26,57,3.2,7,18.3,133.0
28.8,37.2,24,61,3.1,8.5,22.2,143.0
29,35,23.6,58,3.5,4.8,11.1,115.0
29.6,36,23,50,2.9,7.2,18.3,153.0
29.2,36.4,22.5,53,3.9,6.5,13,162.0
28.2,35.5,21,48,2.9,6.3,14.8,161.0
28.3,35.5,20.8,47,3.4,7,16.5,171.0
28.2,35.4,21.2,48,2.7,5.7,16.5,167.0
27.8,35,21,48,3.1,4.6,13,168.0
28.3,35,21.6,58,2.1,4.3,11.1,192.0
29.1,34,24.5,54,2.1,3,9.4,198.0
27.9,34,21.4,42,2.6,3.1,13,193.0
25.7,33.2,18,43,2.7,7.4,16.5,183.0
24.8,33.2,17,40,2.6,3.1,16.5,184.0
25.7,34,17,42,2.9,2.6,11.1,177.0
23.8,32,16.7,49,1.8,2,7.6,225.0
24.5,32.2,18,44,2.1,5.4,9.4,221.0
23.1,32.2,16.7,48,2.3,5.2,13,236.0
21.6,30,14.6,51,1.8,6.9,16.5,318.0
21.6,30,13.8,45,2.3,5,20.6,297.0
19.3,28.6,13,47,2.3,3.5,13,214.0
21.1,29,12.7,50,2.1,3.3,13,201.0
