T,TM,Tm,H,VV,V,VM,PM 2.5
15.6,23,9,87,1.3,2.4,11.1,0.0
17.4,24,9.3,81,1.3,2.2,9.4,0.0
16.7,24.3,9.5,82,1,4.1,13,271.0
14.7,24.4,13.5,96,1,10,22.2,235.0
15.4,20,10.2,84,1.1,2.2,7.6,270.0
14.1,20.2,8.6,82,1.1,5,13,244.0
12.1,19,4.3,70,1.4,6.1,14.8,259.0
12.6,19.5,3.2,78,1.3,5.2,11.1,447.0
16.4,24,8.6,73,1.3,3.3,7.6,298.0
14,21,6.4,76,1.6,10.2,16.5,224.0
14.7,21.3,6,68,1.8,10.2,18.3,216.0
14.7,20.8,7,72,1,6.1,14.8,286.0
19.8,25.6,12.5,74,1.1,7.8,24.1,314.0
16.2,25.1,14.5,92,0.8,8,22.2,222.0
16.1,20,13.2,80,1.8,11.9,18.3,144.0
17.3,23.2,9.8,71,1.4,4.6,16.5,187.0
16.2,23.4,9.4,75,1.3,8,16.5,227.0
17,24,8.6,66,1.6,2.8,7.6,305.0
17.9,25,9.5,68,1.6,3.3,11.1,320.0
16.1,23.5,8.6,62,2.9,10.2,18.3,166.0
16.8,24,9,63,1.8,5.7,18.3,220.0
16.7,24.2,9.4,66,1.8,10.6,27.8,210.0
18.2,25,8.9,59,2.3,7.6,18.3,205.0
18.6,29,10.2,59,1.8,10.2,18.3,231.0
19.7,27,9.8,58,2.4,8.7,32.4,208.0
24.1,31,15.6,57,3.1,7.2,14.8,181.0
24.8,32,16.4,56,2.4,6.3,14.8,202.0
20.9,32.4,15.7,74,1.9,12,24.1,195.0
21.4,28,13.5,47,3.1,18.5,35.2,169.0
20.4,28.1,12.4,55,2.6,16.1,29.4,147.0
21.2,29,11,52,3.2,8,16.5,174.0
24.7,32.5,18,49,2.6,5,11.1,201.0
22.8,30.5,16.5,59,1.9,4.4,11.1,193.0
21.3,28.5,12.5,41,3.1,8.3,22.2,155.0
23.4,30,12,41,2.6,5.9,14.8,194.0
22.8,30.7,17.6,54,2.9,12,22.2,147.0
20.7,28.2,14.6,67,2.6,8.1,18.3,143.0
18.4,24,9,49,3.2,9.1,20.6,151.0
19.6,26,9.1,50,2.7,6.5,22.2,163.0
21.4,28,10.5,50,2.4,8.5,22.2,180.0
23.6,30,15.6,57,2.6,7.6,18.3,175.0
24.2,30,15.4,53,2.7,11.3,24.1,187.0
26.6,34,16.2,47,2.9,10.9,22.2,196.0
27.8,35,17.7,41,3.4,12.8,27.8,0.0
29.1,35,20.8,38,3.2,16.1,35.2,0.0
30.6,37,21.8,41,3.1,13.1,27.8,0.0
31.2,38.5,23.3,41,2.9,8.3,18.3,0.0
32.8,39,23.2,36,3.2,11.1,22.2,0.0
31.7,39.4,23,34,3.5,10.7,25.9,0.0
32.8,39,21.4,30,3.7,10.7,22.2,0.0
28.8,38,19.2,32,1.9,5.9,18.3,0.0
27.5,34.4,16.5,28,2.7,10,20.6,0.0
27.3,33.6,19,29,3.9,13.3,25.9,0.0
31.6,40,19.9,27,2.9,5.6,11.1,231.0
32.4,40.5,20.7,33,2.3,2.6,9.4,254.0
33,40.6,22,29,3.2,8.5,24.1,258.0
34.9,43.2,28.9,45,2.7,9.1,21.7,231.0
33.5,40.2,28.5,49,2.3,8.5,22.2,0.0
33.9,40,26.8,31,3.2,11.1,22.2,180.0
32.6,38.2,22.5,33,2.7,11.9,51.9,169.0
32.2,38.5,24,37,2.9,13.3,39.6,149.0
32.1,39,24,40,3.1,5.9,20.6,196.0
32.2,38.1,23.1,35,3.7,5.7,13,165.0
32.3,39.6,22,37,3.2,4.4,13,200.0
32.6,40,24.4,35,2.3,7.4,18.3,225.0
36.6,44,25.3,27,3.4,8,18.3,226.0
36.6,44.1,27.6,30,2.6,3.5,9.4,264.0
35.6,42.8,28,36,3.2,10.7,20.6,182.0
36,41.8,27.5,35,2.7,6.7,18.3,218.0
37.2,43,27.8,28,3.1,6.7,14.8,191.0
37.9,44,28.1,24,3.2,10.2,22.2,183.0
32.3,40.2,27.4,45,3.2,6.5,18.3,175.0
34,41.4,28.4,38,3.4,5.4,22.2,191.0
31.2,39,24,45,2.1,9.8,22.2,241.0
36.4,41.6,28.5,36,3.4,4.3,11.1,180.0
37.8,44,29,33,3.1,8.3,22.2,190.0
35.3,43.9,29.3,46,3.9,13.3,18.3,182.0
29.4,37,26,69,2.9,9.4,20.6,149.0
32.9,37,24.9,52,2.4,5,14.8,173.0
34.9,40,26,38,2.6,6.7,13,199.0
37.3,42.5,28.7,32,3.4,12.2,35.2,212.0
31.7,43,26,51,3.2,14.3,37,145.0
30.3,37.2,25,62,3.5,8.9,18.3,133.0
32.9,37,26.4,53,2.7,4.8,13,209.0
36.6,42,28.1,33,3.5,13.3,29.4,152.0
36.1,42,29,37,2.9,12.8,43.2,166.0
34.7,41.6,28.6,39,3.1,11.3,22.2,190.0
30.2,37,24,72,3.2,10.2,27.8,162.0
27.6,37.4,23.2,79,2.6,5.6,14.8,123.0
27.7,32.2,23.7,85,2.4,6.7,13,147.0
35.7,39,30,58,3.1,6.7,13,167.0
35.2,39.4,30.4,62,3.4,7.6,18.3,156.0
35.6,39,30.5,59,3.4,9.4,18.3,150.0
30.3,34.5,25.4,84,2.4,3.3,9.4,122.0
28.1,35.1,26,91,1.9,6.5,14.8,93.0
32,37,26.7,75,2.3,3.7,9.4,140.0
31.3,35.8,25.2,74,2.7,3.9,11.1,132.0
31.9,36.5,28.2,72,2.4,6.3,13,133.0
34.4,37.6,29.6,58,2.9,7.4,14.8,149.0
31.1,35,27,69,3.2,7.8,14.8,107.0
33.2,36.5,28.4,64,3.7,9.6,18.3,115.0
31.6,36.4,28.4,76,3.2,6.1,14.8,123.0
34.1,38,28,64,2.7,5,18.3,149.0
29.2,38.4,25,84,2.3,6.9,18.3,120.0
32.5,36,28,70,3.1,10,18.3,102.0
29.6,33.4,26.6,84,2.4,9.3,16.5,107.0
31.6,35,26.4,74,3.2,8.9,13,97.0
32.2,35,28.6,69,3.7,9.3,16.5,105.0
28.3,34.1,27,89,2.1,4.6,18.3,80.0
28.8,32,26.8,84,2.3,9.6,18.3,87.0
29.8,32,27,78,2.7,10.2,14.8,108.0
31.2,35,27.3,69,2.9,18.7,27.8,111.0
29.8,36.1,26,84,2.3,3.5,11.1,152.0
31.7,36,26.5,77,2.7,4.8,13,128.0
29.2,35.6,27,87,1.6,3.5,18.3,147.0
31.3,35,27.3,68,2.9,13.1,22.2,115.0
31.6,36,27.4,63,3.7,7.2,14.8,132.0
32.4,37,28.5,62,3.4,10.7,22.2,138.0
27.9,37.8,26,92,1.6,6.1,14.8,127.0
32,36,26.5,70,3.1,9.6,28.7,110.0
32.1,36,28.3,72,3.2,8.5,16.5,105.0
31.1,35,27.2,76,2.4,3.9,11.1,138.0
29.1,35.3,25.2,84,2.4,4.3,22.2,134.0
31,36,24.8,71,3.2,3.7,9.4,124.0
28.2,35.5,25.6,89,1.6,6.1,20.6,111.0
28.7,33,25.5,81,2.3,9.4,22.2,77.0
28.2,32.6,26,78,2.7,9.8,22.2,82.0
30.7,35,25.2,70,3.4,8.1,18.3,100.0
28.9,36.1,24.2,76,2.9,6.7,13,0.0
31.2,35,26.5,67,2.7,5.7,13,0.0
31.6,35.1,26.8,65,3.1,6.7,11.1,154.0
32.2,36.2,27,63,2.9,4.6,11.1,161.0
32.1,36.6,27.5,67,2.4,3,7.6,203.0
32.7,36.1,27,53,2.9,6.7,14.8,174.0
31.6,36,25.6,59,2.6,1.1,7.6,181.0
31.6,37,25,57,2.7,3,11.1,196.0
30.7,36.9,24.8,69,2.9,6.9,11.1,152.0
30.2,35,23.8,67,3.1,8.9,14.8,163.0
30.4,35.1,25,66,3.4,5.7,18.3,180.0
30.8,36,23.8,58,3.1,2.6,11.1,185.0
28.8,36,22,55,3.4,5.7,22.2,187.0
29.9,36.4,21.9,47,3.9,8,24.1,166.0
30.5,36.4,21.3,53,3.7,7.2,14.8,175.0
29.6,36,21.6,54,2.9,6.1,18.3,190.0
28.8,35.8,22.4,63,2.6,3.9,11.1,217.0
29.6,36,22.5,58,2.7,2.4,11.1,224.0
29,35,21.6,57,2.6,4.4,14.8,219.0
28.8,36.4,21.5,56,2.6,2.4,13,222.0
28.2,36.5,19.2,54,2.7,3.5,16.5,247.0
28.5,36,19.4,58,2.4,0.6,9.4,308.0
27.8,36.3,20.5,62,1.3,2,13,465.0
25.9,35.3,18.4,61,1.6,3.1,11.1,321.0
23.8,33,17,63,1.6,2.6,7.6,288.0
23.8,33.1,16.1,67,1.9,0.7,5.4,256.0
23.8,33.2,17.3,69,1.8,0.7,5.4,260.0
23.5,31.4,17.6,72,1.6,1.7,9.4,267.0
23.3,32,19.4,79,1.3,2.6,9.4,232.0
22.7,30.3,17.5,78,1.1,0.4,3.5,250.0
21.1,30,16,73,0.6,1.9,11.1,475.0
19.7,30.2,14,82,0.3,0.4,3.5,617.0
20.1,30.4,13.8,71,0.5,0.9,7.6,544.0
19.3,28.5,12.4,74,0.6,0.4,3.5,402.0
20.1,28.5,14.6,73,0.8,1.9,7.6,336.0
18.1,24.3,13.5,60,1.8,5.6,14.8,201.0
15.9,24.5,9.4,58,1.4,3.9,11.1,249.0
16,24.4,10.2,59,1.8,5.2,18.3,260.0
16.9,26.5,8.6,57,1.9,3.5,9.4,283.0
16.9,27.5,8.6,63,1.6,1.1,9.4,310.0
16.3,27.5,9,63,1.9,5,13,318.0
15.7,27.1,8.2,66,1.6,1.7,13,298.0
15.1,26.4,8,72,1.3,0.7,5.4,353.0
17.4,25,12,47,1.9,6.1,22.2,193.0
16.6,25.2,9.4,52,1.9,6.7,22.2,216.0
16.1,26.6,0.7,60,1.9,1.7,9.4,263.0
15.7,21.7,12,85,1,3.3,7.6,210.0
13.6,21.3,9.6,83,0.8,4.8,11.1,201.0
12.7,19.5,8,78,1,6.1,11.1,218.0
15.2,25.6,9.6,70,1.4,4.4,9.4,242.0
16.4,23.7,9.6,82,0.5,2.8,9.4,333.0
17.4,25,12,76,0.8,1.3,9.4,347.0
13.5,25.1,7,79,1,3.9,13,333.0
14.4,23.2,7.1,74,1.3,2,7.6,275.0
15.1,25,7.6,71,1.3,3.5,13,279.0
