date,pm25
2022-01-01,325
2022-01-02,331
2022-01-03,314
2022-01-04,301
2022-01-05,327
2022-01-06,194
2022-01-07,159
2022-01-08,135
2022-01-09,122
2022-01-10,178
2022-01-11,175
2022-01-12,207
2022-01-13,322
2022-01-14,290
2022-01-15,211
2022-01-16,212
2022-01-17,224
2022-01-18,260
2022-01-19,259
2022-01-20,318
2022-01-21,270
2022-01-22,202
2022-01-23,211
2022-01-24,153
2022-01-25,252
2022-01-26,204
2022-01-27,186
2022-01-28,178
2022-01-29,217
2022-01-30,214
2022-01-31,289
2022-02-01,267
2022-02-02,229
2022-02-03,215
2022-02-04,146
2022-02-05,226
2022-02-06,231
2022-02-07,190
2022-02-08,213
2022-02-09,188
2022-02-10,159
2022-02-11,166
2022-02-12,179
2022-02-13,203
2022-02-14,199
2022-02-15,185
2022-02-16,200
2022-02-17,194
2022-02-18,170
2022-02-19,160
2022-02-20,165
2022-02-21,157
2022-02-22,162
2022-02-23,199
2022-02-24,222
2022-02-25,192
2022-02-26,81
2022-02-27,119
2022-02-28,118
2022-03-01,164
2022-03-02,183
2022-03-03,152
2022-03-04,158
2022-03-05,137
2022-03-06,166
2022-03-07,190
2022-03-08,181
2022-03-09,142
2022-03-10,149
2022-03-11,169
2022-03-12,146
2022-03-13,176
2022-03-14,198
2022-03-15,183
2022-03-16,174
2022-03-17,197
2022-03-18,258
2022-03-19,182
2022-03-20,177
2022-03-21,175
2022-03-22,176
2022-03-23,180
2022-03-24,169
2022-03-25,155
2022-03-26,159
2022-03-27,165
2022-03-28,165
2022-03-29,169
2022-03-30,183
2022-03-31,204
2022-04-01,149
2022-04-02,184
2022-04-03,186
2022-04-04,167
2022-04-05,173
2022-04-06,193
2022-04-07,185
2022-04-08,174
2022-04-09,170
2022-04-10,170
2022-04-11,174
2022-04-12,160
2022-04-13,170
2022-04-14,156
2022-04-15,153
2022-04-16,171
2022-04-17,188
2022-04-18,188
2022-04-19,191
2022-04-20,180
2022-04-21,178
2022-04-22,143
2022-04-23,186
2022-04-24,197
2022-04-25,171
2022-04-26,150
2022-04-27,190
2022-04-28,213
2022-04-29,200
2022-04-30,179
2022-05-01,156
2022-05-02,160
2022-05-03,177
2022-05-04,154
2022-05-05,153
2022-05-06,202
2022-05-07,168
2022-05-08,168
2022-05-09,160
2022-05-10,157
2022-05-11,154
2022-05-12,160
2022-05-13,172
2022-05-14,171
2022-05-15,161
2022-05-16,171
2022-05-17,149
2022-05-18,160
2022-05-19,169
2022-05-20,184
2022-05-21,161
2022-05-22,157
2022-05-23,88
2022-05-24,105
2022-05-25,170
2022-05-26,170
2022-05-27,159
2022-05-28,170
2022-05-29,162
2022-05-30,150
2022-05-31,174
2022-06-01,166
2022-06-02,152
2022-06-03,157
2022-06-04,151
2022-06-05,131
2022-06-06,130
2022-06-07,166
2022-06-08,156
2022-06-09,145
2022-06-10,157
2022-06-11,162
2022-06-12,159
2022-06-13,133
2022-06-14,138
2022-06-15,99
2022-06-16,97
2022-06-17,89
2022-06-18,113
2022-06-19,120
2022-06-20,129
2022-06-21,116
2022-06-22,137
2022-06-23,145
2022-06-24,161
2022-06-25,157
2022-06-26,152
2022-06-27,147
2022-06-28,161
2022-06-29,140
2022-06-30,105
2022-07-01,101
2022-07-02,122
2022-07-03,84
2022-07-04,140
2022-07-05,148
2022-07-06,149
2022-07-07,93
2022-07-08,101
2022-07-09,117
2022-07-10,106
2022-07-11,125
2022-07-12,118
2022-07-13,100
2022-07-14,88
2022-07-15,77
2022-07-16,77
2022-07-17,83
2022-07-18,127
2022-07-19,114
2022-07-20,93
2022-07-21,118
2022-07-22,153
2022-07-23,97
2022-07-24,80
2022-07-25,87
2022-07-26,93
2022-07-27,91
2022-07-28,69
2022-07-29,63
2022-07-30,68
2022-07-31,82
2022-08-01,72
2022-08-02,100
2022-08-03,135
2022-08-04,131
2022-08-05,119
2022-08-06,142
2022-08-07,116
2022-08-08,127
2022-08-09,114
2022-08-10,73
2022-08-11,64
2022-08-12,74
2022-08-13,91
2022-08-14,79
2022-08-15,68
2022-08-16,58
2022-08-17,47
2022-08-18,80
2022-08-19,60
2022-08-20,107
2022-08-21,138
2022-08-22,109
2022-08-23,83
2022-08-24,75
2022-08-25,115
2022-08-26,103
2022-08-27,98
2022-08-28,107
2022-08-29,115
2022-08-30,137
2022-08-31,122
2022-09-01,127
2022-09-02,113
2022-09-03,99
2022-09-04,78
2022-09-05,79
2022-09-06,105
2022-09-07,121
2022-09-08,156
2022-09-09,147
2022-09-10,146
2022-09-11,95
2022-09-12,76
2022-09-13,60
2022-09-14,62
2022-09-15,63
2022-09-16,54
2022-09-17,99
2022-09-18,116
2022-09-19,165
2022-09-20,130
2022-09-21,146
2022-09-22,78
2022-09-23,93
2022-09-24,86
2022-09-25,76
2022-09-26,146
2022-09-27,120
2022-09-28,137
2022-09-29,155
2022-09-30,168
