date,pm25
2014-01-01,268
2014-01-02,266
2014-01-03,250
2014-01-04,390
2014-01-05,495
2014-01-06,340
2014-01-07,342
2014-01-08,371
2014-01-09,455
2014-01-10,461
2014-01-11,265
2014-01-12,290
2014-01-13,333
2014-01-14,370
2014-01-15,405
2014-01-16,388
2014-01-17,293
2014-01-18,0
2014-01-19,0
2014-01-20,199
2014-01-21,179
2014-01-22,167
2014-01-23,173
2014-01-24,188
2014-01-25,198
2014-01-26,203
2014-01-27,216
2014-01-28,229
2014-01-29,274
2014-01-30,307
2014-01-31,309
2014-02-01,331
2014-02-02,268
2014-02-03,289
2014-02-04,234
2014-02-05,186
2014-02-06,206
2014-02-07,167
2014-02-08,176
2014-02-09,175
2014-02-10,190
2014-02-11,220
2014-02-12,439
2014-02-13,218
2014-02-14,164
2014-02-15,229
2014-02-16,222
2014-02-17,177
2014-02-18,221
2014-02-19,303
2014-02-20,362
2014-02-21,256
2014-02-22,194
2014-02-23,199
2014-02-24,182
2014-02-25,251
2014-02-26,310
2014-02-27,181
2014-02-28,125
2014-03-01,153
2014-03-02,166
2014-03-03,190
2014-03-04,189
2014-03-05,172
2014-03-06,149
2014-03-07,172
2014-03-08,166
2014-03-09,172
2014-03-10,83
2014-03-11,118
2014-03-12,120
2014-03-13,141
2014-03-14,185
2014-03-15,187
2014-03-16,185
2014-03-17,193
2014-03-18,145
2014-03-19,135
2014-03-20,151
2014-03-21,173
2014-03-22,218
2014-03-23,223
2014-03-24,141
2014-03-25,185
2014-03-26,171
2014-03-27,167
2014-03-28,183
2014-03-29,157
2014-03-30,132
2014-03-31,153
2014-04-01,188
2014-04-02,188
2014-04-03,154
2014-04-04,146
2014-04-05,151
2014-04-06,217
2014-04-07,157
2014-04-08,147
2014-04-09,137
2014-04-10,150
2014-04-11,167
2014-04-12,190
2014-04-13,152
2014-04-14,151
2014-04-15,224
2014-04-16,189
2014-04-17,169
2014-04-18,130
2014-04-19,157
2014-04-20,0
2014-04-21,163
2014-04-22,177
2014-04-23,223
2014-04-24,251
2014-04-25,234
2014-04-26,209
2014-04-27,180
2014-04-28,211
2014-04-29,235
2014-04-30,224
2014-05-01,225
2014-05-02,196
2014-05-03,163
2014-05-04,197
2014-05-05,161
2014-05-06,154
2014-05-07,193
2014-05-08,256
2014-05-09,201
2014-05-10,237
2014-05-11,155
2014-05-12,176
2014-05-13,132
2014-05-14,124
2014-05-15,169
